page_url,page_views,session_duration,bounce_rate,device_type,browser,operating_system,traffic_status
LoginUrl,6143,689,0.26,3,2,2,0
ErrorPageUrl,5940,601,0.47,3,4,3,0
ErrorPageUrl,7655,27,0.96,1,1,3,0
LoginUrl,9593,819,0.97,1,3,3,0
SubpageUrl,9715,405,0.95,1,1,2,0
SubpageUrl,7873,895,0.42,1,3,1,0
LoginUrl,4809,418,0.92,2,4,2,1
ProductUrl,7297,722,0.41,2,1,3,0
LoginUrl,145,490,0.21,1,1,3,1
LoginUrl,5551,82,0.92,3,1,4,0
ContactorSupportUrl,1944,524,0.3,3,4,4,1
HomePageUrl,3415,685,0.71,3,2,3,1
ProductUrl,9129,310,0.94,3,1,4,0
ContactorSupportUrl,6994,49,0.58,2,3,4,0
HomePageUrl,4740,785,0.29,2,4,4,1
SubpageUrl,2573,831,0.13,3,3,3,1
ContactorSupportUrl,4113,433,0.29,2,2,2,1
ErrorPageUrl,2995,579,0.67,1,3,2,1
ContactorSupportUrl,6801,894,0.37,3,2,2,0
HomePageUrl,3013,559,0.42,3,3,4,1
ProductUrl,7226,157,1.0,1,3,3,0
LoginUrl,6232,901,0.68,1,4,1,0
ErrorPageUrl,7862,268,0.11,3,1,3,0
ProductUrl,4113,880,0.69,2,1,3,1
ProductUrl,8676,869,0.77,3,4,1,0
ErrorPageUrl,9576,942,0.75,3,2,4,0
LoginUrl,2685,552,0.39,3,2,4,1
ContactorSupportUrl,3533,135,0.13,3,1,4,1
ErrorPageUrl,7057,733,0.19,3,4,4,0
ErrorPageUrl,2148,826,0.2,1,3,4,1
ErrorPageUrl,7816,477,0.16,1,4,2,0
LoginUrl,744,461,0.85,2,3,1,1
ContactorSupportUrl,2663,967,0.54,3,3,2,1
ErrorPageUrl,5561,990,0.73,1,3,2,0
LoginUrl,8569,219,0.61,1,3,4,0
ContactorSupportUrl,1069,367,0.99,1,2,1,1
ErrorPageUrl,4700,493,0.36,1,4,4,1
SubpageUrl,2203,499,0.33,1,1,1,1
ErrorPageUrl,1549,826,0.76,1,4,2,1
ContactorSupportUrl,8490,458,0.6,2,1,4,0
SubpageUrl,336,342,0.89,3,1,1,1
LoginUrl,2743,426,0.83,2,2,4,1
ErrorPageUrl,5406,768,1.0,3,1,3,0
HomePageUrl,8983,798,0.93,2,1,2,0
ProductUrl,7837,317,0.26,3,2,1,0
SubpageUrl,7985,933,0.94,1,4,1,0
HomePageUrl,8940,860,0.48,1,3,3,0
ProductUrl,1286,742,0.72,2,1,2,1
ProductUrl,2322,464,0.15,3,2,1,1
LoginUrl,548,470,0.96,3,4,2,1
HomePageUrl,2140,948,0.71,3,1,2,1
SubpageUrl,1437,609,0.8,3,3,4,1
SubpageUrl,266,739,0.49,2,1,1,1
SubpageUrl,271,910,0.39,1,2,4,1
ContactorSupportUrl,487,831,0.96,3,3,1,1
SubpageUrl,9241,447,0.94,2,3,3,0
HomePageUrl,8960,44,0.77,1,1,3,0
ErrorPageUrl,8872,240,0.72,2,4,1,0
LoginUrl,268,693,0.44,1,4,3,1
LoginUrl,9398,876,0.89,3,3,1,0
SubpageUrl,2395,735,0.7,3,2,2,1
ProductUrl,1225,870,0.51,3,1,3,1
ProductUrl,8287,691,0.72,3,3,1,0
ProductUrl,3251,919,0.32,3,3,3,1
SubpageUrl,6311,680,0.67,1,2,4,0
LoginUrl,7027,318,0.34,3,2,3,0
HomePageUrl,5084,284,0.9,3,4,1,1
ContactorSupportUrl,3496,811,0.39,2,2,2,1
ErrorPageUrl,6882,847,0.11,3,2,2,0
ProductUrl,4741,541,0.47,3,1,2,1
ErrorPageUrl,3128,787,0.47,1,1,1,1
LoginUrl,5734,418,0.33,1,4,2,0
HomePageUrl,736,267,0.96,3,4,3,1
ErrorPageUrl,3165,193,0.84,1,1,1,1
LoginUrl,9565,691,0.9,1,3,2,0
LoginUrl,7058,171,0.43,3,2,3,0
HomePageUrl,8322,20,0.74,2,4,3,0
SubpageUrl,4141,518,0.71,1,2,1,1
ErrorPageUrl,2786,623,0.93,1,3,1,1
SubpageUrl,8287,599,0.84,3,2,4,0
SubpageUrl,8773,296,0.65,3,4,3,0
ContactorSupportUrl,9396,229,0.27,1,3,1,0
LoginUrl,1714,363,0.42,2,3,2,1
HomePageUrl,8216,225,0.77,1,4,2,0
ErrorPageUrl,3458,632,0.15,2,3,1,1
ProductUrl,296,992,0.61,1,2,4,1
SubpageUrl,1934,725,0.64,2,2,2,1
LoginUrl,2506,340,0.35,2,2,2,1
ErrorPageUrl,4564,692,0.11,2,3,4,1
ErrorPageUrl,9351,950,0.92,3,3,3,0
ErrorPageUrl,3574,657,0.35,3,4,2,1
HomePageUrl,134,173,0.87,3,2,1,1
HomePageUrl,5110,913,0.72,3,4,1,0
ErrorPageUrl,7195,741,0.83,3,1,3,0
ContactorSupportUrl,9930,422,0.54,1,3,4,0
ProductUrl,6250,840,0.59,2,3,3,0
SubpageUrl,9810,801,0.26,3,4,3,0
ErrorPageUrl,2904,574,0.26,2,4,3,1
LoginUrl,545,348,0.31,3,4,3,1
ProductUrl,192,120,0.15,2,3,4,1
ContactorSupportUrl,8371,222,0.64,2,2,3,0
ContactorSupportUrl,9123,836,0.38,2,3,2,0
HomePageUrl,5515,293,0.95,2,4,3,0
ContactorSupportUrl,8456,746,0.82,2,3,3,0
ProductUrl,9772,249,0.64,2,3,3,0
ContactorSupportUrl,2524,618,0.52,1,3,2,1
ProductUrl,2587,364,0.54,1,3,2,1
ProductUrl,5066,776,0.61,1,1,3,0
ProductUrl,5348,757,0.54,2,4,3,0
ContactorSupportUrl,319,780,0.64,3,1,4,1
ProductUrl,7026,928,0.37,3,3,1,0
SubpageUrl,919,362,0.39,2,2,4,1
ContactorSupportUrl,6343,883,0.61,3,3,2,0
ErrorPageUrl,6556,51,0.95,1,3,3,0
ProductUrl,1350,873,0.77,3,4,4,1
LoginUrl,4976,187,0.66,1,4,4,1
LoginUrl,647,741,0.91,1,1,2,1
ProductUrl,5840,220,0.19,2,4,3,0
SubpageUrl,8663,817,0.56,2,4,4,0
LoginUrl,5677,935,0.92,1,3,2,0
ContactorSupportUrl,3806,782,0.6,2,2,1,1
ProductUrl,5471,504,0.57,2,4,1,0
ProductUrl,2696,625,0.28,3,3,4,1
ErrorPageUrl,9258,265,0.61,2,2,1,0
ErrorPageUrl,4780,332,0.94,2,3,4,1
ErrorPageUrl,7965,292,0.22,3,1,2,0
LoginUrl,8750,953,0.63,3,1,2,0
ErrorPageUrl,6293,720,0.84,3,4,4,0
ContactorSupportUrl,4767,910,0.98,1,1,3,1
ProductUrl,6020,781,0.56,3,4,3,0
ErrorPageUrl,8502,781,0.35,3,1,1,0
SubpageUrl,3139,887,0.84,1,4,2,1
LoginUrl,1140,555,0.3,1,3,2,1
SubpageUrl,6036,711,0.62,2,2,4,0
HomePageUrl,6205,116,0.14,2,1,3,0
HomePageUrl,2518,782,0.53,1,3,2,1
LoginUrl,1943,242,0.2,1,3,3,1
ErrorPageUrl,1917,683,0.21,3,2,2,1
ContactorSupportUrl,3040,90,0.52,2,2,1,1
ContactorSupportUrl,5862,413,0.39,3,2,2,0
ErrorPageUrl,7839,233,0.22,2,4,3,0
ErrorPageUrl,2405,511,0.9,1,3,2,1
ErrorPageUrl,5428,317,0.52,2,3,1,0
SubpageUrl,7782,763,0.29,2,4,1,0
SubpageUrl,3124,493,0.86,2,3,1,1
ProductUrl,1725,812,0.64,2,1,3,1
LoginUrl,1172,796,0.2,3,4,1,1
HomePageUrl,5127,102,0.64,1,2,3,1
HomePageUrl,7803,648,0.85,1,2,2,0
ContactorSupportUrl,5939,255,0.31,1,2,2,0
ProductUrl,9693,847,0.32,1,1,1,0
ErrorPageUrl,9801,143,0.62,2,2,3,0
ErrorPageUrl,2319,166,0.86,3,1,2,1
ProductUrl,3415,543,0.56,2,4,4,1
ErrorPageUrl,4414,408,0.97,1,3,2,1
ErrorPageUrl,9024,911,0.51,3,1,2,0
SubpageUrl,8137,811,0.73,1,4,1,0
ProductUrl,7702,264,0.41,2,4,1,0
ProductUrl,1408,160,0.26,3,3,4,1
ProductUrl,8537,672,0.18,1,3,3,0
SubpageUrl,5717,769,0.75,3,1,4,0
ErrorPageUrl,2591,531,0.25,2,1,4,1
LoginUrl,2691,410,0.32,3,4,3,1
ContactorSupportUrl,9154,398,0.66,2,4,1,0
HomePageUrl,7500,938,0.19,1,4,3,0
ContactorSupportUrl,3615,239,0.59,1,2,4,1
LoginUrl,5097,49,0.18,2,2,3,1
ProductUrl,9338,596,0.77,1,4,3,0
ErrorPageUrl,9876,790,0.39,2,3,4,0
ErrorPageUrl,5101,239,0.49,1,2,4,1
ContactorSupportUrl,9838,227,0.56,3,4,1,0
LoginUrl,1779,470,0.24,2,4,1,1
ContactorSupportUrl,2657,26,0.89,2,1,1,1
